abaza	Abaza
acrhi	Archi
adyghe	Adyghe
albanian	Albanian
all	all
armenian	Armenian
armenian_translit	Armenian (translit.)
bashkir	Bashkir
belarusian	Belarusian
beserman	Beserman
bulgarian	Bulgarian
buryat	Buryat
chinese	Chinese
chuvash	Chuvash
comments	comments
dargwa	Dargwa
english	English
english_note	English (note)
erzya	Erzya
estonian	Estonian
finnish	Finnish
french	French
german	German
greek	Greek
hill_mari	Hill Mari
hungarian	Hungarian
id	ID
italian	Italian
kalmyk	Kalmyk
kamas	Kamas
kazakh	Kazakh
komi	Komi
komi-zyrian	Komi-Zyrian
komi_permyak	Komi-Permyak
komi_zyrian	Komi-Zyrian
latvian	Latvian
lithuanian	Lithuanian
meadow_mari	Meadow Mari
moksha	Moksha
negative	negative
nganasan	Nganasan
note	notes
notes	notes
ossetic	Ossetic
ossetic_digor	Digor Ossetic
ossetic_iron	Iron Ossetic
polish	Polish
positive	positive
ref	ID
romani	Romani
russian	Russian
selkup	Selkup
spanish	Spanish
swedish	Swedish
tatar	Tatar
tsakhur	Tsakhur
tsakonian	Tsakonian
udmurt	Udmurt
ukrainian	Ukrainian
undefined	undefined
yakut	Yakut
yiddish	Yiddish

